Category,Term,Definition
Romantic attraction,Demiromanticism,Feels romantic attraction only after forming a deep connection with another individual.
Sexual attraction,Straight,Attracted to people of the opposite sex.
Sexual attraction,Pansexual,Attracted to all genders.
Community,Ally,Solidarity with a public cause.
Gender,Agender,"Without' gender. A person who does not identify with any particular gender, male or female."
Sexual attraction,Bi-curious,"People of a heterosexual or homosexual identity who, while showing some curiosity for sexual activity with a person of the sex they do not favor, distinguish themselves from the bisexual label."
Romantic attraction,Panromanticism,Romantic attraction to all genders.
Community,Closeted,LGBTQ etc. people who have not disclosed their sexual orientation or gender identity and aspects thereof.
Gender expression,Butch,Masculine gender expression (typically refers to masculine women).
Gender,Transsexual,A person who identifies psychologically as a gender different to that assigned at birth. People who are transexual often use hormonal and or surgical methods to transform their gender.
Sexual attraction,Heterosexual,Sexually attracted to the opposite sex.
Gender,Trans,Umbrella term for all genders within the gender identity spectrum.
Sexual attraction,Homosexual,Attracted to the same gender.
Gender,Gender identity,"A person's learnt understanding and alignment of 'labels' (male/female/trans*)."
Gender expression,Androgynous,A type of gender expression neither exclusively masculine or feminine.
Gender,Gender expression,"A person's behaviour, mannerisms, interests, and appearance in association with gender."
Sexual attraction,Gay,A person who is attracted to people of the same gender / a man who is attracted to men.
Sexual attraction,Heteronormative,"The assumption, in individuals or in institutions, that everyone is heterosexual, and that heterosexual identities are superior to other identities or people."
Gender,Genderqueer / genderfluid,Not conforming to binary gender identities.
Gender expression,Femme,Feminine gender expression (typically refers to feminine men).
Biology,Intersex,Person with sexual anatomy not conforming to traditional male and female biology.
Community,Transphobia,Prejudice against transgender people.
Sexual attraction,Dyke,Derogatory slur for lesbians.
Community,Advocate,A person who actively supports a public cause.
Biology,Hermaphrodite,Person with male and female reproductive organs.
Community,Homophobia,Prejudice against homosexuality.
Gender,Transgender,A person who identifies as the gender other than assigned to them at birth.
Romantic attraction,Aromanticism,Experiencing little or no romantic attraction to others and/or has a lack of interest in romantic relationships/behavior.
Sexual attraction,Bisexual,Attracted to both the same and opposite genders/sexes.
Gender expression,Sissy,Slur for feminine gender expression.
Community,Queer,Umbrella term for all people who are not traditionally heterosexual and/or cisgender.
Sexual attraction,Asexual,Does not feel sexual attraction to any gender.
Community,Outing,When someone reveals information about another person‰Ûªs sexual orientation and/or gender identity without their consent.
Gender,Cisgender,Denoting or relating to a person whose self-identity conforms with the gender that corresponds to their biological sex; not transgender.
Sexual attraction,Lesbian,A woman who is sexually and romantically attracted to other women.
Biology,Biological sex,"The label that is assigned at birth which is based on one's chromosomes, hormones and sexual organs."
Sexual attraction,Faggot,Offensive slur for gay men.
Gender,Non-binary,Someone who doesn't identify as either female or male.
Gender,Cisnormativity,"The assumption, in individuals or in institutions, that everyone is cisgender, and that cisgender identities are superior to trans* identities or people."
Community,Kinsey scale,"A scale that is used to quantify a person's sexual orientation from on scale of 1-5, 1 being completely straight, 5 being completely gay."